Artist_ID,Artist,Artist_type,Year_formed,Year_disbanded
1,AC/DC,Band,1973,
2,Bad Bunny,Solo Artist,2013,
3,Bon Jovi,Band,1983,
4,Britney Spears,Solo Artist,1992,
5,Bruce Springsteen,Solo Artist,1964,
6,Bruno Mars,Solo Artist,2004,
7,Celine Dion,Solo Artist,1980,
8,Cher,Solo Artist,1963,
9,Coldplay,Band,1997,
10,Daddy Yankee,Solo Artist,1994,2023
11,David Bowie,Solo Artist,1962,2016
13,Eagles,Band,1971,
14,Ed Sheeran,Solo Artist,2004,
15,Elton John,Solo Artist,1962,
16,Garth Brooks,Solo Artist,1985,
18,Genesis,Band,1967,2022
19,Guns N' Roses,Band,1985,
20,Harry Styles,Solo Artist,2010,
21,Justin Timberlake,Solo Artist,1992,
22,Kendrick Lamar,Solo Artist,2003,
23,Kenny Chesney,Solo Artist,1993,
24,Lady Gaga,Solo Artist,2001,
25,Madonna,Solo Artist,1979,
26,Metallica,Band,1981,
27,Michael Jackson,Solo Artist,1964,2009
28,New Kids on the Block,Band,1984,
29,One Direction,Band,2010,2016
30,Paul McCartney,Solo Artist,1957,
31,Pink,Solo Artist,1995,
32,Pink Floyd,Band,1965,2022
33,Red Hot Chili Peppers,Band,1982,
34,Roger Waters,Solo Artist,1964,
35,Spice Girls,Band,1994,
36,Taylor Swift,Solo Artist,2004,
37,The Jacksons,Band,1964,
38,The Police,Band,1977,2008
39,The Rolling Stones,Band,1962,
40,The Weeknd,Solo Artist,2009,
41,Faith Hill,Solo Artist,1993,
42,Tina Turner,Solo Artist,1956,2009
43,U2,Band,1976,
44,Beyoncé,Solo Artist,1997,
45,Iron Maiden,Band,1975,
46,The Wise Owls,Band,1992,
